1    130    138    147
2    155    167    182
3    83    95    104
4    160    172    185
5    150    159    166
6    199    231    245
7    215    236    264
8    210    267    315
9    213    244    273
10    124    144    161
11    180    197    220
12    100    106    124
13    144    159    169
14    116    141    150
15    107    148    174
16    242    279    316
17    169    189    208
18    189    219    240
19    103    117    129
20    115    128    142
21    109    132    146
22    141    164    184
23    141    163    203
24    142    152    165
25    123    154    173
26    118    145    164
